StationCode,SampleID,FinalID,BAResult
ME-VR2,ME-VR22011761,Simulium,11
ME-VR2,ME-VR22011761,Simulium argus,2
ME-VR2,ME-VR22011761,Simulium argus,47
ME-VR2,ME-VR22011761,Simulium hippovorum,17
ME-VR2,ME-VR22011761,Simulium hippovorum,2
ME-VR2,ME-VR22011761,Sperchon,21
ME-VR2,ME-VR22011761,Tanytarsus,12
ME-VR2,ME-VR22011761,Thienemannimyia group,5
ME-VR2,ME-VR22011761,Tinodes,1
ME-VR2,ME-VR22011761,Tribelos,1
ME-VR2,ME-VR22011761,Tricorythodes explicatus,45
ME-VR2,ME-VR22011761,Tvetenia bavarica group,2
SGUR010,SGUR01020106181,Agabus,1
SGUR010,SGUR01020106181,Baetis,65
SGUR010,SGUR01020106181,Baetis adonis,3
SGUR010,SGUR01020106181,Caloparyphus/ Euparyphus,17
SGUR010,SGUR01020106181,Coenagrionidae,1
SGUR010,SGUR01020106181,Corynoneura,5
SGUR010,SGUR01020106181,Cricotopus,2
SGUR010,SGUR01020106181,Cricotopus,82
SGUR010,SGUR01020106181,Dasyhelea,2
SGUR010,SGUR01020106181,Eukiefferiella,2
SGUR010,SGUR01020106181,Eukiefferiella,63
SGUR010,SGUR01020106181,Forcipomyia,1
SGUR010,SGUR01020106181,Hydroptila,10
SGUR010,SGUR01020106181,Hydroptilidae,1
SGUR010,SGUR01020106181,Hydroptilidae,28
SGUR010,SGUR01020106181,Hygrobates,1
SGUR010,SGUR01020106181,Lebertia,1
SGUR010,SGUR01020106181,Malenka,1
SGUR010,SGUR01020106181,Micropsectra,11
SGUR010,SGUR01020106181,Muscidae,3
SGUR010,SGUR01020106181,Nemouridae,2
SGUR010,SGUR01020106181,Ochrotrichia,9
SGUR010,SGUR01020106181,Parametriocnemus,53
SGUR010,SGUR01020106181,Pentaneura,9
SGUR010,SGUR01020106181,Plecoptera,1
SGUR010,SGUR01020106181,Polycentropus,1
SGUR010,SGUR01020106181,Polypedilum,1
SGUR010,SGUR01020106181,Polypedilum,23
SGUR010,SGUR01020106181,Rheotanytarsus,11
SGUR010,SGUR01020106181,Simulium,1
SGUR010,SGUR01020106181,Simulium,148
SGUR010,SGUR01020106181,Tanytarsus,21
SGUR010,SGUR01020106181,Thienemanniella,1
SGUR010,SGUR01020106181,Thienemannimyia group,4
SGUR010,SGUR01020116271,Agapetus,4
SGUR010,SGUR01020116271,Baetis,147
SGUR010,SGUR01020116271,Baetis adonis,153
SGUR010,SGUR01020116271,Caloparyphus/ Euparyphus,7
SGUR010,SGUR01020116271,Corynoneura,9
SGUR010,SGUR01020116271,Cricotopus,3
SGUR010,SGUR01020116271,Dolichopodidae,1
SGUR010,SGUR01020116271,Eukiefferiella,2
SGUR010,SGUR01020116271,Eukiefferiella,4
SGUR010,SGUR01020116271,Euparyphus,1
SGUR010,SGUR01020116271,Fallceon quilleri,5
SGUR010,SGUR01020116271,Hydropsyche,2
SGUR010,SGUR01020116271,Hydroptila,16
SGUR010,SGUR01020116271,Lebertia,4
SGUR010,SGUR01020116271,Malenka,16
SGUR010,SGUR01020116271,Maruina,1
SGUR010,SGUR01020116271,Micropsectra,10
SGUR010,SGUR01020116271,Nilotanypus,1
SGUR010,SGUR01020116271,Ochrotrichia,4
SGUR010,SGUR01020116271,Oligochaeta,14
SGUR010,SGUR01020116271,Parametriocnemus,17
SGUR010,SGUR01020116271,Pentaneura,3
SGUR010,SGUR01020116271,Polypedilum,22
SGUR010,SGUR01020116271,Pseudochironomus,6
SGUR010,SGUR01020116271,Rheotanytarsus,4
SGUR010,SGUR01020116271,Simulium,14
SGUR010,SGUR01020116271,Simulium argus ,106
SGUR010,SGUR01020116271,Stratiomyidae,1
SGUR010,SGUR01020116271,Tanytarsus,8
SGUR010,SGUR01020116271,Wormaldia,4
SGUR103,SGUR10320107221,Agabus,2
SGUR103,SGUR10320107221,Baetis,18
SGUR103,SGUR10320107221,Belostomatidae,1
SGUR103,SGUR10320107221,Brillia,104
SGUR103,SGUR10320107221,Brillia,2
SGUR103,SGUR10320107221,Calineuria californica,2
SGUR103,SGUR10320107221,Caloparyphus/ Euparyphus,1
SGUR103,SGUR10320107221,Corynoneura,3
SGUR103,SGUR10320107221,Corynoneura,37
SGUR103,SGUR10320107221,Cricotopus,13
SGUR103,SGUR10320107221,Dicranota,7
SGUR103,SGUR10320107221,Dixa,1
SGUR103,SGUR10320107221,Elmidae,1
SGUR103,SGUR10320107221,Empididae,1
SGUR103,SGUR10320107221,Eukiefferiella,15
SGUR103,SGUR10320107221,Forcipomyia,1
SGUR103,SGUR10320107221,Hemerodromia,3
SGUR103,SGUR10320107221,Heptageniidae,6
SGUR103,SGUR10320107221,Hydropsyche,10
SGUR103,SGUR10320107221,Lebertia,1
SGUR103,SGUR10320107221,Lepidostoma,1
SGUR103,SGUR10320107221,Leptophlebiidae,15
SGUR103,SGUR10320107221,Malenka,132
SGUR103,SGUR10320107221,Micrasema,7
SGUR103,SGUR10320107221,Micropsectra,12
SGUR103,SGUR10320107221,Nemouridae,23
SGUR103,SGUR10320107221,Neoplasta,3
SGUR103,SGUR10320107221,Oligochaeta,17
SGUR103,SGUR10320107221,Orohermes crepusculus,1
SGUR103,SGUR10320107221,Paraleptophlebia,1
SGUR103,SGUR10320107221,Parametriocnemus,4
SGUR103,SGUR10320107221,Parametriocnemus,91
SGUR103,SGUR10320107221,Pentaneura,31
SGUR103,SGUR10320107221,Polycentropus,2
SGUR103,SGUR10320107221,Rheotanytarsus,41
SGUR103,SGUR10320107221,Simulium,13
SGUR103,SGUR10320107221,Sperchonopsis,2
SGUR103,SGUR10320107221,Stempellinella,3
SGUR103,SGUR10320107221,Tanytarsus,1
SGUR103,SGUR10320107221,Testudacarus,1
SGUR103,SGUR10320107221,Thienemanniella,4
SGUR103,SGUR10320107221,Thienemannimyia group,1
SGUR103,SGUR10320107221,Turbellaria,1
SGUR103,SGUR10320107221,Tvetenia bavarica group,21
SGUR103,SGUR1032011831,Agabinus sculpturellus,1
SGUR103,SGUR1032011831,Agabus,1
SGUR103,SGUR1032011831,Baetis,9
SGUR103,SGUR1032011831,Baetis tricaudatus,22
SGUR103,SGUR1032011831,Brillia,16
SGUR103,SGUR1032011831,Calineuria,11
SGUR103,SGUR1032011831,Caloparyphus/ Euparyphus,1
SGUR103,SGUR1032011831,Cardiocladius,2
SGUR103,SGUR1032011831,Corynoneura,8
SGUR103,SGUR1032011831,Dicranota,1
SGUR103,SGUR1032011831,Diphetor hageni,1
SGUR103,SGUR1032011831,Epeorus,35
SGUR103,SGUR1032011831,Eukiefferiella,26
SGUR103,SGUR1032011831,Farula,223
SGUR103,SGUR1032011831,Hydropsyche,41
SGUR103,SGUR1032011831,Lara,1
SGUR103,SGUR1032011831,Lepidostoma,16
SGUR103,SGUR1032011831,Lethocerus,1
SGUR103,SGUR1032011831,Malenka,29
SGUR103,SGUR1032011831,Maruina lanceolata,1
SGUR103,SGUR1032011831,Micrasema,58
SGUR103,SGUR1032011831,Neoplasta,2
SGUR103,SGUR1032011831,Oligochaeta,3
SGUR103,SGUR1032011831,Paraleptophlebia,1
SGUR103,SGUR1032011831,Parametriocnemus,14
SGUR103,SGUR1032011831,Pentaneura,3
SGUR103,SGUR1032011831,Polypedilum,23
SGUR103,SGUR1032011831,Rheotanytarsus,7
SGUR103,SGUR1032011831,Rhyacophila,11
SGUR103,SGUR1032011831,Simulium canadense,11
SGUR103,SGUR1032011831,Sperchonopsis,1
SGUR103,SGUR1032011831,Tanytarsus,1
SGUR103,SGUR1032011831,Thienemannimyia group,2
SGUR103,SGUR1032011831,Turbellaria,11
SGUT502,SGUT50220105271,Baetis  ,247
SGUT502,SGUT50220105271,Baetis adonis,147
SGUT502,SGUT50220105271,Bezzia/ Palpomyia,1
SGUT502,SGUT50220105271,Blepharicera,4
SGUT502,SGUT50220105271,Brillia,2
SGUT502,SGUT50220105271,Brillia,32
SGUT502,SGUT50220105271,Caloparyphus/ Euparyphus,1
SGUT502,SGUT50220105271,Chelifera/ Metachela,7
SGUT502,SGUT50220105271,Cricotopus,2
SGUT502,SGUT50220105271,Drunella,11
SGUT502,SGUT50220105271,Eukiefferiella,11
SGUT502,SGUT50220105271,Euparyphus,1
SGUT502,SGUT50220105271,Helicopsyche sinuata,11
SGUT502,SGUT50220105271,Hyalella,1
SGUT502,SGUT50220105271,Hydropsyche,7
SGUT502,SGUT50220105271,Isoperla,7
SGUT502,SGUT50220105271,Lepidostoma,1
SGUT502,SGUT50220105271,Maruina lanceolata,1
SGUT502,SGUT50220105271,Micropsectra,9
SGUT502,SGUT50220105271,Mideopsis,7
SGUT502,SGUT50220105271,Oligochaeta,3
SGUT502,SGUT50220105271,Perlidae,1
SGUT502,SGUT50220105271,Petrophila,1
SGUT502,SGUT50220105271,Polycentropus,1
SGUT502,SGUT50220105271,Polypedilum,1
SGUT502,SGUT50220105271,Polypedilum,15
SGUT502,SGUT50220105271,Sciomyzidae,1
SGUT502,SGUT50220105271,Simulium,1
SGUT502,SGUT50220105271,Simulium,43
SGUT502,SGUT50220105271,Sperchon,8
SGUT502,SGUT50220105271,Stempellinella,1
SGUT502,SGUT50220105271,Tanytarsus,4
SGUT502,SGUT50220105271,Thienemanniella,2
SGUT502,SGUT50220105271,Thienemannimyia group,1
SGUT502,SGUT50220105271,Tvetenia bavarica group,1
SGUT502,SGUT50220116281,Baetis,35
SGUT502,SGUT50220116281,Baetis tricaudatus,243
SGUT502,SGUT50220116281,Bezzia/ Palpomyia,1
SGUT502,SGUT50220116281,Brillia,8
SGUT502,SGUT50220116281,Calineuria,1
SGUT502,SGUT50220116281,Corynoneura,1
SGUT502,SGUT50220116281,Corynoneura,6
SGUT502,SGUT50220116281,Dicranota,1
SGUT502,SGUT50220116281,Diphetor hageni,11
SGUT502,SGUT50220116281,Drunella coloradensis,6
SGUT502,SGUT50220116281,Empididae,1
SGUT502,SGUT50220116281,Epeorus,14
SGUT502,SGUT50220116281,Eukiefferiella,3
SGUT502,SGUT50220116281,Gumaga,2
SGUT502,SGUT50220116281,Helicopsyche,1
SGUT502,SGUT50220116281,Hydropsyche,55
SGUT502,SGUT50220116281,Lebertia,2
SGUT502,SGUT50220116281,Lepidostoma,8
SGUT502,SGUT50220116281,Malenka,25
SGUT502,SGUT50220116281,Maruina,1
SGUT502,SGUT50220116281,Matriella teresa,2
SGUT502,SGUT50220116281,Menetus opercularis,1
SGUT502,SGUT50220116281,Micropsectra,18
SGUT502,SGUT50220116281,Microtendipes,21
SGUT502,SGUT50220116281,Neoplasta,6
SGUT502,SGUT50220116281,Neotrichia ,1
SGUT502,SGUT50220116281,Ordobrevia nubifera,1
SGUT502,SGUT50220116281,Parametriocnemus,1
SGUT502,SGUT50220116281,Pentaneura,3
SGUT502,SGUT50220116281,Polycentropus,34
SGUT502,SGUT50220116281,Polypedilum,7
SGUT502,SGUT50220116281,Rheotanytarsus,2
SGUT502,SGUT50220116281,Rheotanytarsus,41
SGUT502,SGUT50220116281,Simulium,7
SGUT502,SGUT50220116281,Simulium argus ,1
SGUT502,SGUT50220116281,Simulium hippovorum,1
SGUT502,SGUT50220116281,Simulium hippovorum,24
SGUT502,SGUT50220116281,Sperchon,4
SGUT502,SGUT50220116281,Stempellinella,7
SGUT502,SGUT50220116281,Thienemannimyia group,11
SGUT502,SGUT50220116281,Torrenticola,1
SGUT503,SGUT50320105271,Agapetus,1
SGUT503,SGUT50320105271,Baetis,38
SGUT503,SGUT50320105271,Baetis adonis,5
SGUT503,SGUT50320105271,Bezzia/ Palpomyia,1
SGUT503,SGUT50320105271,Brillia,35
SGUT503,SGUT50320105271,Calineuria californica,6
SGUT503,SGUT50320105271,Caloparyphus/ Euparyphus,13
SGUT503,SGUT50320105271,Chelifera/ Metachela,7
SGUT503,SGUT50320105271,Cricotopus,7
SGUT503,SGUT50320105271,Dicranota,2
SGUT503,SGUT50320105271,Drunella,16
SGUT503,SGUT50320105271,Elmidae,1
SGUT503,SGUT50320105271,Eukiefferiella,28
SGUT503,SGUT50320105271,Euparyphus,3
SGUT503,SGUT50320105271,Fallceon quilleri,11
SGUT503,SGUT50320105271,Frontipoda,1
SGUT503,SGUT50320105271,Hydropsyche,2
SGUT503,SGUT50320105271,Ironodes,4
SGUT503,SGUT50320105271,Isoperla,1
SGUT503,SGUT50320105271,Lebertia,7
SGUT503,SGUT50320105271,Micrasema,8
SGUT503,SGUT50320105271,Micropsectra,1
SGUT503,SGUT50320105271,Micropsectra,43
SGUT503,SGUT50320105271,Ochrotrichia,3
SGUT503,SGUT50320105271,Oligochaeta,190
SGUT503,SGUT50320105271,Orthocladius lignicola,1
SGUT503,SGUT50320105271,Ostracoda,4
SGUT503,SGUT50320105271,Parametriocnemus,26
SGUT503,SGUT50320105271,Pericoma/ Telmatoscopus,1
SGUT503,SGUT50320105271,Physa,3
SGUT503,SGUT50320105271,Polycentropus,5
SGUT503,SGUT50320105271,Polypedilum,3
SGUT503,SGUT50320105271,Rheotanytarsus,2
SGUT503,SGUT50320105271,Rhyacophila,4
SGUT503,SGUT50320105271,Simulium,23
SGUT503,SGUT50320105271,Sperchon,2
SGUT503,SGUT50320105271,Tanytarsus,15
SGUT503,SGUT50320105271,Torrenticola,3
SGUT503,SGUT50320105271,Trichoptera,5
SGUT503,SGUT50320105271,Turbellaria,27
SGUT503,SGUT50320105271,Tvetenia bavarica group,2
SGUT503,SGUT50320105271,Wormaldia,1
SGUT503,SGUT50320117271,Agapetus,4
SGUT503,SGUT50320117271,Atractides,3
SGUT503,SGUT50320117271,Baetis,14
SGUT503,SGUT50320117271,Baetis tricaudatus,7
SGUT503,SGUT50320117271,Brillia,1
SGUT503,SGUT50320117271,Brillia,81
SGUT503,SGUT50320117271,Calineuria,6
SGUT503,SGUT50320117271,Clinocera,7
SGUT503,SGUT50320117271,Cricotopus,7
SGUT503,SGUT50320117271,Dicranota,1
SGUT503,SGUT50320117271,Drunella flavilinea,4
SGUT503,SGUT50320117271,Empididae,1
SGUT503,SGUT50320117271,Epeorus,8
SGUT503,SGUT50320117271,Eukiefferiella,2
SGUT503,SGUT50320117271,Eukiefferiella,23
SGUT503,SGUT50320117271,Farula,13
SGUT503,SGUT50320117271,Frontipoda,1
SGUT503,SGUT50320117271,Gumaga,2
SGUT503,SGUT50320117271,Heleniella,1
SGUT503,SGUT50320117271,Hydropsyche,32
SGUT503,SGUT50320117271,Lebertia,4
SGUT503,SGUT50320117271,Lepidostoma,10
SGUT503,SGUT50320117271,Malenka,6
SGUT503,SGUT50320117271,Micrasema,38
SGUT503,SGUT50320117271,Micropsectra,1
SGUT503,SGUT50320117271,Micropsectra,37
SGUT503,SGUT50320117271,Muscidae,1
SGUT503,SGUT50320117271,Neoplasta,10
SGUT503,SGUT50320117271,Oligochaeta,6
SGUT503,SGUT50320117271,Pagastia,13
SGUT503,SGUT50320117271,Parametriocnemus,14
SGUT503,SGUT50320117271,Pericoma/ Telmatoscopus,1
SGUT503,SGUT50320117271,Polypedilum,61
SGUT503,SGUT50320117271,Prodiamesa,1
SGUT503,SGUT50320117271,Rheotanytarsus,11
SGUT503,SGUT50320117271,Rhyacophila,3
SGUT503,SGUT50320117271,Simulium hippovorum,3
SGUT503,SGUT50320117271,Simulium piperi,2
SGUT503,SGUT50320117271,Sperchon,11
SGUT503,SGUT50320117271,Sperchonopsis,2
SGUT503,SGUT50320117271,Stenochironomus,2
SGUT503,SGUT50320117271,Tinodes,1
SGUT503,SGUT50320117271,Torrenticola,5
SGUT503,SGUT50320117271,Turbellaria,1
SGUT503,SGUT50320117271,Tvetenia ,7
SGUT503,SGUT50320117271,Tvetenia bavarica group,52
SMC00080,SMC000802010781,Agabus,1
SMC00080,SMC000802010781,Argia,3
SMC00080,SMC000802010781,Baetis,6
SMC00080,SMC000802010781,Brillia,11
SMC00080,SMC000802010781,Caloparyphus/ Euparyphus,2
SMC00080,SMC000802010781,Ceratopogonidae,1
SMC00080,SMC000802010781,Chironomus,3
SMC00080,SMC000802010781,Dasyhelea,32
SMC00080,SMC000802010781,Eukiefferiella,1
SMC00080,SMC000802010781,Eukiefferiella,24
SMC00080,SMC000802010781,Hydrobius,2
SMC00080,SMC000802010781,Hydroptilidae,17
SMC00080,SMC000802010781,Micropsectra,248
SMC00080,SMC000802010781,Ochrotrichia,1
SMC00080,SMC000802010781,Oligochaeta,32
SMC00080,SMC000802010781,Parametriocnemus,43
SMC00080,SMC000802010781,Pentaneura,1
SMC00080,SMC000802010781,Polypedilum,16
SMC00080,SMC000802010781,Simulium,1
SMC00080,SMC000802010781,Simulium,25
SMC00080,SMC000802010781,Stictotarsus,1
SMC00080,SMC000802010781,Tanytarsus,31
SMC00080,SMC000802010781,Thienemannimyia group,1
SMC00080,SMC000802010781,Tvetenia bavarica group,29
SMC00080,SMC0008020116131,Agabus,2
SMC00080,SMC0008020116131,Atractides,2
SMC00080,SMC0008020116131,Baetis adonis,25
SMC00080,SMC0008020116131,Caloparyphus/ Euparyphus,5
SMC00080,SMC0008020116131,Chironomus,1
SMC00080,SMC0008020116131,Corynoneura,1
SMC00080,SMC0008020116131,Cricotopus,9
SMC00080,SMC0008020116131,Culicoides,1
SMC00080,SMC0008020116131,Dicranota,2
SMC00080,SMC0008020116131,Eukiefferiella,1
SMC00080,SMC0008020116131,Eukiefferiella,21
SMC00080,SMC0008020116131,Fallceon quilleri,3
SMC00080,SMC0008020116131,Heleniella,6
SMC00080,SMC0008020116131,Hexatoma,1
SMC00080,SMC0008020116131,Hydrobius,1
SMC00080,SMC0008020116131,Hydropsyche,12
SMC00080,SMC0008020116131,Hydropsychidae,10
SMC00080,SMC0008020116131,Hydroptila,1
SMC00080,SMC0008020116131,Lethocerus,1
SMC00080,SMC0008020116131,Malenka,14
SMC00080,SMC0008020116131,Micropsectra,72
SMC00080,SMC0008020116131,Oligochaeta,1
SMC00080,SMC0008020116131,Ostracoda,2
SMC00080,SMC0008020116131,Parametriocnemus,61
SMC00080,SMC0008020116131,Pentaneura,2
SMC00080,SMC0008020116131,Polypedilum,15
SMC00080,SMC0008020116131,Psectrocladius,1
SMC00080,SMC0008020116131,Rheotanytarsus,1
SMC00080,SMC0008020116131,Rhyacophila,1
SMC00080,SMC0008020116131,Simulium,93
SMC00080,SMC0008020116131,Simulium canadense,2
SMC00080,SMC0008020116131,Sperchon,2
SMC00080,SMC0008020116131,Tanytarsus,11
SMC00080,SMC0008020116131,Thienemannimyia group,4
SMC00080,SMC0008020116131,Tinodes,1
SMC00080,SMC0008020116131,Tipula,1
SMC00080,SMC0008020116131,Tvetenia ,11
SMC00080,SMC0008020116131,Tvetenia bavarica group,198
SMC00105,SMC0010520095121,Agabus,2
SMC00105,SMC0010520095121,Anagapetus,1
SMC00105,SMC0010520095121,Apedilum,21
SMC00105,SMC0010520095121,Atractides,1
SMC00105,SMC0010520095121,Baetis,12
SMC00105,SMC0010520095121,Bezzia/ Palpomyia,1
SMC00105,SMC0010520095121,Brillia,25
SMC00105,SMC0010520095121,Corynoneura,6
SMC00105,SMC0010520095121,Cricotopus,48
SMC00105,SMC0010520095121,Cricotopus,7
SMC00105,SMC0010520095121,Dixa,3
SMC00105,SMC0010520095121,Ephydridae,3
SMC00105,SMC0010520095121,Eukiefferiella,28
SMC00105,SMC0010520095121,Gyrinus,1
SMC00105,SMC0010520095121,Hydraena,3
SMC00105,SMC0010520095121,Hydropsyche,2
SMC00105,SMC0010520095121,Hydroptila,10
SMC00105,SMC0010520095121,Isoperla,3
SMC00105,SMC0010520095121,Limnophora,2
SMC00105,SMC0010520095121,Limonia,1
SMC00105,SMC0010520095121,Maruina,2
SMC00105,SMC0010520095121,Meringodixa,5
SMC00105,SMC0010520095121,Metriocnemus,1
SMC00105,SMC0010520095121,Micrasema,3
SMC00105,SMC0010520095121,Micropsectra,41
SMC00105,SMC0010520095121,Nematoda,7
SMC00105,SMC0010520095121,Oligochaeta,20
SMC00105,SMC0010520095121,Ostracoda,9
SMC00105,SMC0010520095121,Paraleptophlebia,63
SMC00105,SMC0010520095121,Peltodytes,38
SMC00105,SMC0010520095121,Pentaneura,10
SMC00105,SMC0010520095121,Pericoma/ Telmatoscopus,1
SMC00105,SMC0010520095121,Physa,51
SMC00105,SMC0010520095121,Planariidae,4
SMC00105,SMC0010520095121,Polypedilum,61
SMC00105,SMC0010520095121,Rheotanytarsus,2
SMC00105,SMC0010520095121,Rheotanytarsus,49
SMC00105,SMC0010520095121,Sanfilippodytes,1
SMC00105,SMC0010520095121,Sanfilippodytes,5
SMC00105,SMC0010520095121,Sperchon,4
SMC00105,SMC0010520095121,Stempellinella,1
SMC00105,SMC0010520095121,Stenochironomus,2
SMC00105,SMC0010520095121,Stictotarsus,2
SMC00105,SMC0010520095121,Stictotarsus,4
SMC00105,SMC0010520095121,Tanytarsus,3
SMC00105,SMC0010520095121,Tipula,1
SMC00153,SMC001532009681,Alotanypus,2
SMC00153,SMC001532009681,Cambaridae,1
SMC00153,SMC001532009681,Ceratopogon,1
SMC00153,SMC001532009681,Chironomidae ,2
